E1_P01_X,E1_P01_Y,E1_P02_X,E1_P02_Y,E1_P03_X,E1_P03_Y,E1_P04_X,E1_P04_Y,MEAN_X,MEAN_Y
7.29749644088504E-07,0.0236814139077956,8.53267290869881E-07,0.0250736047463874,8.04100913842018E-07,0.020973436554524,4.85181667570582E-07,0.012954902912035,0,0
1.50182419941453E-06,0.0487363313859537,1.69705383406343E-06,0.0498686138844816,1.6119331544304E-06,0.0420441976406235,9.70363335141164E-07,0.0259098058240699,4.73857575735088E-07,0.0135785138988898
2.27219439589877E-06,0.0737359399955067,2.52646634045738E-06,0.0742412361325828,2.4514816723629E-06,0.063942217245115,1.46112180348842E-06,0.0390136156661282,9.47715151470176E-07,0.0271570277977796
3.00336433902209E-06,0.0974634446271399,3.38126278417828E-06,0.0993597756545014,3.30035850716132E-06,0.0860835481785452,1.97582771046492E-06,0.0527568493841694,1.42157272720526E-06,0.0407355416966694
3.75839530593032E-06,0.121965273419246,4.26541896263879E-06,0.125341062866618,4.18281728267704E-06,0.109100799896155,2.47872392167905E-06,0.066184750779808,1.89543030294035E-06,0.0543140555955592
4.53217422009813E-06,0.147075499766009,5.16792497531156E-06,0.151861567385109,5.02982845410227E-06,0.131193468563798,3.01868945570284E-06,0.0806024452985434,2.36928787867544E-06,0.0678925694944491
5.3161792873166E-06,0.172517579324404,6.04474122008717E-06,0.177627167674676,5.89176493251297E-06,0.153675435357742,3.5547184244725E-06,0.0949150290431445,2.84314545441053E-06,0.0814710833933389
6.14108896673779E-06,0.199287071729324,6.9729370006571E-06,0.20490257642209,6.76489539116277E-06,0.176449375746413,4.10058880637747E-06,0.109490389723081,3.31700303014562E-06,0.0950495972922287
6.93702454584872E-06,0.225116313367955,7.91948261543928E-06,0.232717202475879,7.67907044402261E-06,0.200293885982415,4.65236403616362E-06,0.124223416564219,3.7908606058807E-06,0.108628111191118
7.73296012495965E-06,0.250945555006586,8.87887311417004E-06,0.260909280644129,8.6171881768383E-06,0.224762895296026,5.24153663586393E-06,0.139954995759631,4.26471818161579E-06,0.122206625090008
7.91788305929271E-06,0.25694656725025,9.08744956304934E-06,0.267038384026579,8.9225350822493E-06,0.232727286129956,5.47707445690226E-06,0.146244123745325,4.73857575735088E-06,0.135785138988898
8.12013364185052E-06,0.263509886324735,9.27217122745271E-06,0.272466504910743,9.11034519514976E-06,0.237625954219257,5.70900375979096E-06,0.152436900188062,5.21243333308597E-06,0.149363652887788
8.32067986556655E-06,0.270017896530614,9.46637363953242E-06,0.2781732214032,9.32987158539433E-06,0.24335188082695,6.03114601641998E-06,0.161038465204708,5.68629090882106E-06,0.162942166786678
8.51099993623191E-06,0.276194053524862,9.69880487288765E-06,0.285003307283937,9.56245761925119E-06,0.249418443295157,6.37297109931961E-06,0.170165584092024,6.16014848455614E-06,0.176520680685568
8.72006795415683E-06,0.282978608073767,9.93490607308534E-06,0.291941236625948,9.82644898655663E-06,0.256304153904125,6.7010182038298E-06,0.17892481526987,6.63400606029123E-06,0.190099194584457
8.93993024474636E-06,0.290113452123839,1.01251326877524E-05,0.297531122702024,1.00761369346677E-05,0.262816787142054,6.95427056851167E-06,0.185686941739168,7.10786363602632E-06,0.203677708483347
9.16462155205427E-06,0.297405004634958,1.03541997848354E-05,0.304262352076592,1.03164965659128E-05,0.269086109051043,7.22720575946416E-06,0.192974622079136,7.58172121176141E-06,0.217256222382237
9.4145941821819E-06,0.305516972030389,1.05358631435367E-05,0.309600603409694,1.05991445669501E-05,0.276458442317889,7.44470098975442E-06,0.198781992350048,8.0555787874965E-06,0.230834736281127
