142.8354492188,-221.4289703369,-6.8828027248
142.6113471985,-221.4283714294,-20.6485509872
142.4202575684,-221.4212112427,-34.4039268494
127.8021316528,-207.1454353333,-20.9865298271
127.2052040100,-207.1390495300,-34.9717049599
126.7769432068,-207.1400260925,-48.9285631180
126.6212368011,-207.1512565613,-62.8433237076
128.4911613464,-207.1447830200,-6.9954558611
143.0597381592,-206.9978981018,-6.8832323551
142.8097152710,-207.0035552979,-20.6413626671
142.5548515320,-207.0348014832,-34.3934993744
142.3625679016,-207.0706977844,-48.1360588074
142.2686500549,-207.1031837463,-61.8683643341
142.2795677185,-207.1288604736,-75.5837974548
142.3847465515,-207.1377410889,-89.2806148529
142.5206031799,-207.1396369934,-102.9654140472
142.6342926025,-207.1353683472,-116.6393127441
111.1733570099,-192.8620414734,-49.7936391830
110.9374904633,-192.8608970642,-63.9406957626
111.8786926270,-192.8622665405,-35.5642685890
97.9106216431,-192.8706092834,-21.6066236496
112.9682044983,-192.8686599731,-21.3227984905
128.6142616272,-192.8580665588,-20.9770483971
127.6328048706,-192.8453521729,-34.9676980972
126.8975563049,-192.8534088135,-48.9292039871
126.6792182922,-192.8530120850,-62.8319473267
126.8150043488,-192.8615875244,-76.6829624176
127.1792888641,-192.8673324585,-90.4777793884
127.5831451416,-192.8647384644,-104.2219924927
127.9109077454,-192.8544807434,-117.9360885620
128.1196975708,-192.8585357666,-131.6007633209
99.7185306549,-192.8575973511,-7.2067368031
114.2408504486,-192.8688850403,-7.1081149578
129.4331817627,-192.8712425232,-6.9909908772
144.6616630554,-192.7127151489,-6.8865556717
144.3292541504,-192.7063522339,-20.6469678879
143.7889671326,-192.7461891174,-34.3913731575
143.2545623779,-192.7397193909,-48.0993947983
142.8940238953,-192.6540184021,-61.8181495667
142.7122116089,-192.6344413757,-75.5638008118
142.7331771851,-192.6503677368,-89.2764472961
142.8073158264,-192.6743392944,-102.9534492493
142.8246765137,-192.7180061340,-116.6206970215
142.8007698059,-192.7804145813,-130.2875900269
142.7851905823,-192.8250541687,-143.9616127014
142.7857360840,-192.8399467468,-157.6386985779
142.7744026184,-192.8536643982,-171.3017425537
142.7721099854,-192.8596000671,-184.9723587036
95.3417892456,-178.5750617981,-50.7078218460
111.8409881592,-178.5489768982,-49.7700300217
111.1837444305,-178.5474624634,-63.9442844391
111.4245452881,-178.5657653809,-77.9620552063
112.0804824829,-178.5714759827,-91.8244037628
112.7681350708,-178.5782241821,-105.6070823669
113.3249969482,-178.5766029358,-119.3570652008
113.7031536102,-178.5801086426,-133.0908679962
96.4833507538,-178.5637702942,-36.1915683746
112.9113025665,-178.5481262207,-35.5577616692
98.5767707825,-178.5576858521,-21.6429078579
114.3227767944,-178.5471076965,-21.3332130909
128.2279510498,-178.5814666748,-48.9511699677
127.6293716431,-178.6029281616,-62.8743562698
127.7643356323,-178.6213417053,-76.7111034393
128.1638317108,-178.6178321838,-90.4811210632
128.5181026459,-178.6064834595,-104.2239933014
128.4151840210,-178.5664138794,-117.9513969421
128.2129650116,-178.5553054810,-131.6330375671
128.2984676361,-178.5709075928,-145.3363533020
128.3617877960,-178.5718116760,-159.0470657349
128.3700428009,-178.5713615417,-172.7237930298
100.8236446381,-178.5590515137,-7.1924288273
115.9607143402,-178.5588111877,-7.1064963341
144.3380584717,-178.4935646057,-48.1413640976
144.1699256897,-178.4348449707,-61.8639593124
144.1226081848,-178.4023666382,-75.5861835480
144.2001495361,-178.3987693787,-89.2851657867
144.2872085571,-178.4027137756,-102.9602603912
144.1258087158,-178.3894958496,-116.6194400787
143.7033386230,-178.3750419617,-130.2496910095
143.3360671997,-178.3689270020,-143.9274291992
143.1567001343,-178.3767585754,-157.6271820068
143.0678558350,-178.4019546509,-171.2991714478
142.9756011963,-178.4426422119,-184.9587593079
142.8959960938,-178.4925918579,-198.6256523132
142.8353538513,-178.5359725952,-212.2936248779
142.8079261780,-178.5590171814,-225.9508438110
142.8082847595,-178.5683860779,-239.6072769165
96.8181838989,-164.2733039856,-50.7283039093
96.2712574005,-164.2659645081,-65.2175855637
96.5583152771,-164.2836189270,-79.4546089172
97.3507556915,-164.2935752869,-93.4068412781
98.2673873901,-164.2979698181,-107.2048053741
98.8907852173,-164.2886085510,-120.9391841888
99.2919273376,-164.2899055481,-134.6609649658
113.1713275909,-164.2495918274,-49.7933807373
112.8466186523,-164.2642707825,-63.9528207779
112.8240299225,-164.2803153992,-77.9747905731
113.1046466827,-164.2763900757,-91.8494777679
113.6977405548,-164.2736892700,-105.6148109436
113.9039382935,-164.2674789429,-119.3471279144
113.8452472687,-164.2814140320,-133.0987396240
113.9441089630,-164.2918510437,-146.8149299622
114.0530815125,-164.2876701355,-160.5348091125
98.1670017242,-164.2714920044,-36.1584639549
113.9540309906,-164.2411003113,-35.5686354637
99.9384326935,-164.2594833374,-21.6475062370
115.0232467651,-164.2361946106,-21.3261442184
128.8708705902,-164.2284049988,-48.9344196320
128.7147350311,-164.2341995239,-62.8485851288
128.8493251801,-164.2397499084,-76.7019405365
129.1693630219,-164.2466888428,-90.4898662567
129.5169620514,-164.2657737732,-104.2252540588
