E1_C01_X,E1_C01_Y,E1_C02_X,E1_C02_Y,E1_C03_X,E1_C03_Y,E1_C04_X,E1_C04_Y,E1_C05_X,E1_C05_Y,MEAN_X,MEAN_Y
-1.90307302495423E-07,-0.00655122790316369,-5.0200239019029E-08,-0.0015192435032094,-1.75451660301581E-07,-0.00527710059667689,-1.3401679140165E-07,-0.00391047370389738,1.71922300965241E-07,0.00503623050857344,0,0
-5.48913579986798E-07,-0.0188960587138871,-2.22948120349217E-07,-0.00674722849954764,-7.54884454406803E-07,-0.0227048361806602,-2.16254367943572E-07,-0.00631008256765258,1.8881024380342E-06,0.0553093987711473,6.51691944663409E-06,0.199727940432663
1.11206784247325E-06,0.0382823453661062,1.39379487158716E-06,0.0421813490302846,1.23111038951109E-06,0.0370283949430689,1.46200136074528E-06,0.0426597131334259,3.29238813529896E-06,0.0964460426597605,1.30338388932682E-05,0.399455880865326
2.60086646743745E-06,0.0895334480099038,2.95738466926809E-06,0.0895013157920127,2.60376161422347E-06,0.0783139466700116,2.92857147574289E-06,0.0854527378703938,4.81991017219367E-06,0.141192727886378,1.95507583399023E-05,0.599183821297989
3.79837840490864E-06,0.130757161006002,4.42205046652917E-06,0.133827479179769,4.12385120893716E-06,0.12403403671349,4.63119389377749E-06,0.135133528790363,6.23028161462534E-06,0.182507645421312,2.60676777865364E-05,0.798911761730652
5.23021429987421E-06,0.180047351896472,5.88819274140846E-06,0.178198326199973,5.66458217545105E-06,0.170374962121282,6.16477240447592E-06,0.179881790379279,7.69846763614267E-06,0.225516162596298,3.25845972331705E-05,0.998639702163316
6.42643162984544E-06,0.221226498716358,7.2982288667959E-06,0.220871195187179,7.30262246616581E-06,0.219642682817988,7.66027796307161E-06,0.22351912193868,9.24728978112157E-06,0.270886805585039,3.91015166798046E-05,1.19836764259598
7.62653278231657E-06,0.26253934406488,8.7466534102567E-06,0.264705838618015,8.75931356177894E-06,0.263455921385356,9.24258985246155E-06,0.269689373965377,1.06972185671382E-05,0.313360501821061,4.56184361264387E-05,1.39809558302864
8.87323980478659E-06,0.305456571757034,1.02541370584458E-05,0.310327827346744,1.03118395978929E-05,0.310151609858472,1.09467351885803E-05,0.319414602086527,1.22384335306584E-05,0.358508302751901,5.21353555730728E-05,1.5978235234613
1.02662374747531E-05,0.353409777361143,1.19004096027463E-05,0.360150077525523,1.20132783877083E-05,0.361326182031288,1.26752472140447E-05,0.369850825426567,1.36488049730901E-05,0.399823220286835,5.86522750197069E-05,1.79755146389397
