"I1p","Points:0","Points:1","Points:2"
0.21241,90.094,-139.08,-18.341
0.21311,90.173,-139.22,-14.284
0.10327,97.956,-143.64,-22.142
0.10469,97.966,-143.65,-18.142
0.10464,97.986,-143.7,-14.134
0.24252,93.857,-143.43,-22.395
0.24698,93.89,-143.49,-18.388
0.24903,93.958,-143.63,-14.358
0.1609,89.772,-143.26,-22.588
0.16797,89.838,-143.38,-18.562
0.16874,89.963,-143.57,-14.499
0.06886,97.896,-148.17,-22.225
0.07483,97.904,-148.05,-18.234
0.07178,97.924,-148.32,-14.252
0.036757,93.64,-147.74,-22.613
0.036655,93.662,-147.69,-18.626
0.038853,93.751,-147.99,-14.64
0.062851,97.999,-139.34,-34.143
0.055284,98,-139.3,-30.125
0.04992,98.003,-139.27,-26.127
0.14992,93.988,-139.02,-34.292
0.14231,93.992,-139,-30.296
0.13338,94.002,-139.03,-26.288
0.21965,89.969,-138.76,-34.39
0.21473,89.979,-138.75,-30.41
0.2131,89.999,-138.83,-26.403
0.096094,97.958,-143.59,-34.117
0.10121,97.956,-143.57,-30.122
0.10159,97.953,-143.6,-26.129
0.21317,93.859,-143.28,-34.31
0.22621,93.853,-143.26,-30.34
0.23548,93.847,-143.34,-26.363
0.12399,89.757,-142.98,-34.471
0.14477,89.751,-142.98,-30.524
0.1543,89.75,-143.12,-26.558
0.056944,97.913,-148.16,-34.142
0.06623,97.909,-147.97,-30.149
0.065957,97.894,-148.14,-26.165
0.02883,93.704,-147.54,-34.401
0.031212,93.688,-147.39,-30.436
0.034754,93.651,-147.65,-26.483
0.0827,97.995,-139.48,-46.058
0.07756,97.997,-139.43,-42.108
0.070138,97.998,-139.35,-38.156
0.16101,93.978,-139.24,-46.146
0.16111,93.982,-139.18,-42.205
0.15644,93.986,-139.09,-38.258
0.20869,89.955,-138.97,-46.191
0.21875,89.96,-138.91,-42.266
0.22264,89.964,-138.83,-38.334
0.075364,97.964,-143.62,-46.055
0.083639,97.964,-143.59,-42.077
0.089191,97.961,-143.59,-38.099
0.15112,93.875,-143.34,-46.15
0.17478,93.874,-143.28,-42.197
0.19612,93.865,-143.29,-38.246
0.068185,89.786,-143.02,-46.218
0.085643,89.78,-142.96,-42.293
0.10312,89.766,-142.98,-38.372
0.036266,97.923,-148.15,-46.072
0.046042,97.926,-147.99,-42.077
0.0503,97.915,-148.16,-38.087
0.024851,93.711,-147.53,-38.264
0.079633,97.984,-139.44,-57.996
0.082051,97.99,-139.46,-54.012
0.083595,97.993,-139.47,-50.033
0.14968,93.949,-139.15,-57.98
0.15474,93.965,-139.19,-54.027
0.15832,93.973,-139.23,-50.082
0.17468,89.918,-138.86,-57.946
0.18779,89.94,-138.9,-54.021
0.19758,89.95,-138.95,-50.103
0.054787,97.955,-143.6,-58.017
0.061849,97.963,-143.59,-54.02
0.068005,97.964,-143.62,-50.03
0.09291,93.856,-143.28,-58.031
0.11225,93.872,-143.27,-54.049
0.13032,93.875,-143.33,-50.083
0.027165,89.767,-142.96,-58.01
0.040666,89.787,-142.94,-54.055
0.053702,89.789,-143.01,-50.118
0.025794,97.93,-147.93,-54.031
0.029803,97.923,-148.15,-50.023
0.067372,97.967,-139.24,-69.918
0.070949,97.971,-139.38,-65.954
0.075306,97.977,-139.42,-61.978
0.14083,93.884,-138.83,-69.734
0.1422,93.906,-139.01,-65.863
0.14513,93.928,-139.1,-61.929
0.10878,89.792,-138.54,-69.611
0.13311,89.842,-138.71,-65.773
0.156,89.885,-138.8,-61.868
0.040531,97.945,-143.26,-70.132
0.044438,97.944,-143.52,-66.021
0.049012,97.949,-143.58,-62.01
0.037547,93.809,-142.89,-69.969
0.054559,93.82,-143.12,-66.011
0.074051,93.837,-143.25,-62.005
0.078943,75.247,-139.5,-2.0377
0.079812,75.034,-139.31,-6.1196
0.080899,74.825,-139.06,-10.204
0.25499,86.66,-139.55,-2.0468
0.22678,82.855,-139.54,-2.0467
0.15198,79.049,-139.52,-2.0437
0.25287,86.526,-139.46,-6.1454
0.2248,82.691,-139.41,-6.1458
0.15216,78.858,-139.37,-6.1372
0.25238,86.395,-139.31,-10.243
0.22455,82.529,-139.23,-10.246
0.15358,78.671,-139.15,-10.233
0.071551,86.634,-144.12,-2.0871
0.074034,86.441,-143.88,-6.2691
0.075428,86.243,-143.66,-10.439
0.043292,98.091,-139.56,-2.0119
0.11541,94.275,-139.56,-2.0309
0.21721,90.465,-139.56,-2.0418
0.042437,98.068,-139.53,-6.0365
0.1165,94.207,-139.49,-6.0954
0.21515,90.36,-139.49,-6.1299
0.041502,98.05,-139.46,-10.06
0.11668,94.151,-139.4,-10.156
0.21393,90.265,-139.37,-10.215
0.10364,98.085,-143.83,-2.0203
0.24102,94.252,-143.97,-2.0549
0.15722,90.434,-144.1,-2.078
0.10343,98.049,-143.78,-6.0685
0.24721,94.145,-143.84,-6.1798
0.16568,90.271,-143.9,-6.2446
0.10569,98.017,-143.75,-10.115
0.24936,94.049,-143.75,-10.299
0.16833,90.118,-143.75,-10.4
0.064613,98.084,-148.25,-2.0241
0.035712,94.223,-148.54,-2.0782
0.07466,98.039,-148.24,-6.1174
0.040377,94.06,-148.13,-6.31
0.07347,97.978,-148.39,-10.236
0.039434,93.903,-148.13,-10.58
0.029936,50.856,-123.7,-38.294
0.025852,52.116,-123.65,-42.745
0.20042,62.75,-123.96,-45.826
0.19242,62.485,-124.14,-41.526
0.18825,62.355,-124.16,-37.194
0.16275,59.201,-123.84,-46.148
0.19576,58.811,-124.1,-41.686
0.21353,58.385,-124.16,-37.106
0.055613,55.784,-123.62,-46.49
0.087487,55.273,-123.8,-42.019
0.11742,54.341,-123.85,-37.22
0.081951,62.815,-128.25,-45.946
0.11843,62.602,-128.25,-41.799
0.1486,62.422,-128.34,-37.618
0.020137,59.205,-127.99,-46.155
0.032376,58.871,-128.02,-41.925
0.049782,58.441,-128.13,-37.583
0.079335,63.229,-125.3,-57.921
0.13901,63.255,-125.15,-54.103
0.18798,63.065,-124.42,-50.05
0.034684,59.599,-125.06,-54.357
0.095499,59.483,-124.28,-50.385
0.026208,56.017,-124.15,-50.687
0.041299,62.991,-128.48,-50.005
0.039279,63.063,-125.29,-61.676
0.16386,74.465,-125.83,-45.774
0.16587,74.594,-125.87,-42.109
0.15932,74.98,-125.04,-38.389
0.16113,70.332,-124.88,-45.599
0.16669,70.364,-125,-41.761
0.16836,70.701,-124.62,-37.902
0.164,66.441,-124.27,-45.654
0.15832,66.28,-124.41,-41.54
0.16625,66.377,-124.32,-37.438
0.16385,74.372,-129.68,-45.939
0.15618,74.409,-129.62,-42.051
0.1645,74.541,-129.34,-38.141
0.18885,70.406,-129.07,-45.847
0.18106,70.385,-129.04,-41.897
0.17178,70.475,-128.93,-37.938
0.17019,66.548,-128.58,-45.848
0.19621,66.433,-128.58,-41.8
0.19473,66.411,-128.59,-37.744
0.14548,74.212,-133.52,-46.041
0.17823,74.208,-133.49,-42.132
0.19153,74.244,-133.42,-38.203
0.066741,70.294,-133.03,-45.996
0.10223,70.251,-133.01,-42.06
0.13479,70.253,-133.02,-38.104
0.029714,66.346,-132.59,-42.016
0.056425,66.275,-132.66,-38.006
0.14059,74.672,-125.78,-57.519
0.15038,74.712,-125.79,-53.567
0.15865,74.609,-125.7,-49.55
0.16732,70.816,-125.58,-57.604
0.15267,70.827,-125.5,-53.671
0.15124,70.614,-125.07,-49.566
0.18123,66.995,-125.42,-57.747
0.18932,66.999,-125.28,-53.869
0.17635,66.777,-124.66,-49.789
0.18406,74.46,-129.66,-57.614
0.17885,74.483,-129.66,-53.711
0.17418,74.435,-129.64,-49.809
0.12485,70.596,-129.4,-57.638
0.16844,70.611,-129.32,-53.732
0.19182,70.526,-129.16,-49.786
0.035646,66.778,-129.17,-57.714
0.077015,66.8,-129.04,-53.823
0.12686,66.707,-128.77,-49.859
0.040959,74.245,-133.55,-57.665
0.076672,74.269,-133.53,-53.798
0.10881,74.248,-133.52,-49.923
0.033264,70.36,-133.08,-49.904
0.17131,74.237,-125.7,-69.319
0.15488,74.414,-125.71,-65.381
0.1411,74.564,-125.74,-61.452
0.14494,70.314,-125.53,-69.277
0.17876,70.524,-125.54,-65.378
0.1803,70.699,-125.56,-61.493
0.044196,66.406,-125.39,-69.255
0.088564,66.655,-125.38,-65.402
0.1418,66.862,-125.41,-61.573
0.08644,74.083,-129.64,-69.287
0.13131,74.245,-129.64,-65.396
0.17053,74.376,-129.65,-61.508
0.040342,70.347,-129.43,-65.37
0.080245,70.5,-129.42,-61.512
0.089911,73.66,-126.01,-81.274
0.14315,73.852,-125.84,-77.259
0.17367,74.046,-125.73,-73.274
0.045053,69.858,-125.67,-77.152
0.092186,70.088,-125.57,-73.198
0.045505,73.903,-129.68,-73.196
0.042605,73.464,-126.21,-85.307
0.10521,50.605,-124.95,-23.603
0.023311,46.595,-124.96,-22.895
0.06039,50.161,-124.81,-27.409
0.03624,49.58,-124.22,-31.403
0.1745,62.76,-125.16,-24.976
0.21203,58.669,-125.2,-24.642
0.21106,54.599,-125.04,-24.21
0.17305,62.57,-125.02,-29.012
0.21748,58.416,-125.04,-28.661
0.17021,54.245,-124.88,-28.215
0.18095,62.399,-124.48,-33.073
0.21923,58.232,-124.49,-32.781
0.13755,53.899,-124.26,-32.525
0.20564,62.652,-129.22,-25.364
0.11855,58.618,-129.13,-25.054
0.030855,54.6,-128.99,-24.628
0.19398,62.48,-128.93,-29.402
0.09765,58.381,-128.81,-29.101
0.022132,54.257,-128.65,-28.659
0.17514,62.374,-128.58,-33.491
0.072776,58.241,-128.42,-33.283
0.031156,62.507,-133.23,-25.712
0.025082,62.331,-132.89,-29.757
0.13023,75.102,-125.2,-25.667
0.17086,70.971,-125.27,-25.513
0.17323,66.834,-125.17,-25.27
0.1423,75.137,-125.06,-29.941
0.17228,70.929,-125.14,-29.689
0.17086,66.698,-125.05,-29.357
0.14888,75.164,-124.66,-34.367
0.16945,70.901,-124.65,-33.938
0.17021,66.547,-124.55,-33.445
0.18224,74.741,-129.55,-25.944
0.16589,70.722,-129.45,-25.805
0.1892,66.682,-129.32,-25.609
0.17857,74.697,-129.34,-30.058
0.16114,70.642,-129.21,-29.88
0.18662,66.556,-129.06,-29.655
0.17293,74.643,-129.2,-34.165
0.16106,70.568,-128.97,-33.953
0.18632,66.458,-128.76,-33.712
0.19254,74.436,-133.76,-26.187
0.18721,70.465,-133.57,-26.076
0.11127,66.485,-133.4,-25.919
0.19209,74.355,-133.55,-30.23
0.17936,70.36,-133.31,-30.111
0.10091,66.349,-133.1,-29.953
0.19333,74.295,-133.41,-34.244
0.16381,70.29,-133.11,-34.127
0.084706,66.271,-132.83,-33.987
0.032819,86.706,-125.29,-34.956
0.022999,86.765,-125.53,-30.384
0.067585,82.891,-125.22,-34.869
0.053739,82.928,-125.53,-30.262
0.041125,82.943,-125.64,-25.767
0.10278,79.065,-124.91,-34.643
0.088668,79.074,-125.21,-30.112
0.075639,79.055,-125.35,-25.72
0.10263,86.44,-129.97,-34.521
0.087811,86.48,-129.94,-30.359
0.076405,86.518,-130.03,-26.165
0.14439,82.542,-129.77,-34.448
0.13328,82.586,-129.79,-30.284
0.12345,82.623,-129.91,-26.091
0.17295,78.618,-129.49,-34.326
0.17124,78.663,-129.55,-30.186
0.16767,78.699,-129.71,-26.028
0.16768,86.202,-134.28,-34.412
0.16364,86.232,-134.26,-30.382
0.15929,86.272,-134.35,-26.314
0.18381,82.242,-134.02,-34.388
0.18673,82.283,-134.04,-30.361
0.18877,82.334,-134.17,-26.297
0.19654,78.275,-133.73,-34.331
0.19323,78.325,-133.79,-30.312
0.19087,78.388,-133.96,-26.258
0.10631,86.455,-127.35,-46.318
0.091464,86.516,-127.32,-42.678
0.058315,86.617,-126.08,-39.012
0.13681,82.56,-127.12,-46.225
0.12694,82.639,-127.1,-42.578
0.095506,82.791,-125.91,-38.926
0.15672,78.614,-126.7,-46.078
0.15441,78.711,-126.7,-42.406
0.1304,78.942,-125.58,-38.706
0.14536,86.293,-130.95,-46.244
0.13863,86.334,-130.86,-42.389
0.1221,86.391,-130.35,-38.503
0.16168,82.346,-130.67,-46.176
0.16309,82.396,-130.59,-42.317
0.15669,82.477,-130.11,-38.43
0.15853,78.374,-130.26,-46.075
0.1665,78.425,-130.19,-42.204
0.17239,78.535,-129.77,-38.306
0.1666,86.124,-134.74,-46.199
0.16947,86.145,-134.67,-42.295
0.17016,86.173,-134.45,-38.372
0.19739,82.147,-134.41,-46.163
0.19172,82.168,-134.35,-42.263
0.1833,82.204,-134.16,-38.344
0.19692,78.172,-134,-46.107
0.19655,78.186,-133.96,-42.206
0.19568,78.228,-133.81,-38.285
0.12682,86.335,-126.4,-57.596
0.12007,86.386,-126.58,-53.683
0.11272,86.424,-126.88,-49.898
0.1426,82.434,-126.22,-57.536
0.14088,82.494,-126.37,-53.62
0.13858,82.533,-126.66,-49.82
0.15,78.545,-126,-57.505
0.1531,78.606,-126.11,-53.574
0.15463,78.623,-126.3,-49.724
0.14433,86.207,-130.46,-57.748
0.1458,86.245,-130.59,-53.864
0.14639,86.269,-130.77,-50.037
0.14621,82.273,-130.21,-57.686
0.15238,82.313,-130.32,-53.805
0.15746,82.33,-130.49,-49.974
0.16419,78.355,-129.94,-57.636
0.15372,78.389,-130.01,-53.748
0.15176,78.385,-130.12,-49.895
0.1825,86.064,-134.49,-57.833
0.17516,86.095,-134.57,-53.945
0.1665,86.111,-134.67,-50.072
0.18614,82.1,-134.19,-57.77
0.18962,82.131,-134.26,-53.894
0.19232,82.141,-134.34,-50.03
0.12009,78.158,-133.88,-57.709
0.15886,78.186,-133.91,-53.84
0.18627,78.183,-133.96,-49.976
0.13339,86.093,-126.21,-69.544
0.13374,86.186,-126.24,-65.548
0.13155,86.268,-126.3,-61.562
0.13582,82.125,-126.04,-69.454
0.14069,82.246,-126.07,-65.47
0.14273,82.35,-126.12,-61.495
0.13169,78.173,-125.87,-69.379
0.13506,78.321,-125.89,-65.413
0.14404,78.448,-125.93,-61.456
0.13001,85.991,-130.26,-69.544
0.13607,86.078,-130.3,-65.6
0.14127,86.151,-130.37,-61.666
0.16081,82,-130.05,-69.45
0.15004,82.113,-130.08,-65.518
0.1416,82.206,-130.13,-61.595
0.16976,78.03,-129.85,-69.363
0.17452,78.168,-129.86,-65.448
0.16883,78.279,-129.89,-61.539
0.1706,85.864,-134.27,-69.508
0.17441,85.948,-134.35,-65.627
0.17889,86.016,-134.42,-61.731
0.10191,81.845,-134.03,-69.405
0.13958,81.956,-134.09,-65.535
0.1708,82.042,-134.14,-61.654
0.022946,77.853,-133.8,-69.303
0.054328,77.989,-133.82,-65.446
0.087565,78.092,-133.85,-61.58
0.11583,85.777,-126.48,-81.629
0.12465,85.885,-126.32,-77.585
0.13043,85.991,-126.23,-73.554
0.13645,81.724,-126.35,-81.521
0.12348,81.86,-126.18,-77.479
0.12766,81.995,-126.07,-73.454
0.16519,77.687,-126.19,-81.404
0.16342,77.85,-126.01,-77.371
0.1442,78.013,-125.91,-73.361
0.15346,85.681,-130.72,-81.591
0.14382,85.789,-130.4,-77.524
0.13034,85.893,-130.26,-73.509
0.12708,81.613,-130.57,-81.474
0.16217,81.744,-130.22,-77.41
0.16643,81.875,-130.08,-73.404
0.042068,77.576,-130.36,-81.34
0.088493,77.723,-130.03,-77.288
0.13673,77.877,-129.88,-73.301
0.062341,85.553,-135.1,-81.522
0.11932,85.669,-134.33,-77.341
0.1564,85.77,-134.21,-73.387
0.034177,81.588,-134.15,-77.219
0.06965,81.718,-134,-73.276
0.1325,85.516,-126.63,-93.738
0.11702,85.582,-126.65,-89.705
0.10959,85.672,-126.61,-85.668
0.14417,81.38,-126.57,-93.643
0.15663,81.469,-126.57,-89.604
0.15425,81.588,-126.51,-85.562
0.049692,77.257,-126.49,-93.534
0.091466,77.368,-126.47,-89.488
0.13681,77.519,-126.37,-85.443
0.10636,85.436,-130.98,-93.753
0.13265,85.486,-130.99,-89.709
0.14816,85.572,-130.97,-85.654
0.021652,81.278,-130.88,-93.656
0.048913,81.34,-130.89,-89.6
0.08162,81.465,-130.85,-85.539
0.029249,85.434,-135.58,-85.681
0.13686,85.397,-126.5,-105.78
0.14954,85.43,-126.51,-101.78
0.14761,85.468,-126.58,-97.76
0.04124,81.214,-126.46,-105.69
0.073625,81.263,-126.46,-101.69
0.11322,81.316,-126.52,-97.669
0.03265,85.379,-130.77,-105.77
0.054441,85.398,-130.76,-101.77
0.076474,85.413,-130.88,-97.759
0.039149,85.301,-126.73,-117.71
0.075486,85.335,-126.6,-113.74
0.11211,85.366,-126.53,-109.76
0.15511,51.422,-125.82,-12.667
0.048431,47.461,-125.75,-12.393
0.13629,51.186,-125.73,-16.334
0.036366,47.201,-125.65,-15.944
0.12899,50.925,-125.25,-19.997
0.031152,46.937,-125.23,-19.469
0.19192,63.231,-126.1,-13.319
0.2127,59.284,-126.11,-13.145
0.23766,55.338,-125.94,-12.923
0.18118,63.082,-126,-17.216
0.21547,59.098,-126.01,-16.983
0.23441,55.121,-125.85,-16.688
0.17796,62.922,-125.48,-21.119
0.21316,58.894,-125.51,-20.829
0.22873,54.882,-125.35,-20.464
0.2144,63.193,-130.21,-13.552
0.14522,59.286,-130.14,-13.375
0.051556,55.386,-130.03,-13.154
0.21428,63.016,-129.94,-17.47
0.13793,59.079,-129.87,-17.24
0.044214,55.155,-129.75,-16.948
0.21147,62.834,-129.56,-21.41
0.13078,58.857,-129.48,-21.132
0.038418,54.898,-129.36,-20.769
0.043036,63.141,-134.3,-13.77
0.039694,62.928,-133.97,-17.732
0.03608,62.714,-133.59,-21.711
0.1181,75.058,-126.27,-13.596
0.15833,71.102,-126.28,-13.556
0.17861,67.147,-126.15,-13.458
0.12689,75.034,-126.18,-17.587
0.1637,71.035,-126.17,-17.532
0.17905,67.036,-126.05,-17.402
0.12642,75.045,-125.61,-21.618
0.16713,70.993,-125.62,-21.532
0.17591,66.933,-125.51,-21.357
0.18334,74.931,-130.44,-13.848
0.17857,71.013,-130.38,-13.789
0.19797,67.097,-130.28,-13.69
0.18379,74.85,-130.22,-17.854
0.1747,70.902,-130.13,-17.776
0.19568,66.952,-130.03,-17.648
0.18348,74.787,-129.86,-21.889
0.17058,70.805,-129.77,-21.786
0.19235,66.813,-129.65,-21.626
0.20208,74.789,-134.6,-14.063
0.19747,70.9,-134.5,-13.998
0.1252,67.016,-134.4,-13.902
0.19898,74.655,-134.34,-18.101
0.19552,70.74,-134.21,-18.019
0.12209,66.829,-134.09,-17.898
0.19556,74.536,-134.04,-22.145
0.19212,70.593,-133.88,-22.047
0.11793,66.649,-133.73,-21.905
0.029096,82.94,-126.44,-13.614
0.065156,78.98,-126.34,-13.603
0.03379,82.964,-126.38,-17.595
0.071995,78.979,-126.27,-17.584
0.035399,82.948,-125.94,-21.601
0.071387,79.002,-125.74,-21.603
0.059306,86.646,-130.59,-13.921
0.1089,82.751,-130.59,-13.899
0.15913,78.838,-130.51,-13.879
0.063583,86.625,-130.44,-17.96
0.11307,82.713,-130.42,-17.921
0.16271,78.781,-130.32,-17.893
0.068685,86.571,-130.22,-22.038
0.11691,82.665,-130.14,-21.979
0.16483,78.734,-130,-21.941
0.14995,86.459,-134.85,-14.126
0.18962,82.57,-134.79,-14.121
0.19638,78.677,-134.7,-14.101
0.15251,86.392,-134.68,-18.182
0.18994,82.481,-134.59,-18.173
0.19437,78.566,-134.47,-18.149
0.15552,86.326,-134.5,-22.246
0.18972,82.4,-134.36,-22.233
0.19235,78.469,-134.2,-22.203
0.027934,98.109,-130.03,-22.164
0.025905,98.119,-130.14,-18.072
0.023829,98.118,-130.18,-14.009
0.032278,90.427,-130.29,-22.105
0.028213,90.477,-130.47,-18.002
0.025144,90.49,-130.57,-13.933
0.029951,98.061,-134.79,-22.125
0.030512,98.069,-134.85,-18.076
0.03114,98.077,-134.85,-14.047
0.044547,94.161,-134.71,-22.201
0.040274,94.189,-134.81,-18.138
0.037304,94.215,-134.9,-14.086
0.10273,90.244,-134.62,-22.238
0.096938,90.292,-134.76,-18.171
0.092717,90.339,-134.89,-14.114
0.034101,98.077,-130.15,-34.624
0.033468,98.083,-130.06,-30.444
0.030892,98.095,-129.99,-26.283
0.029571,94.201,-130.22,-34.62
0.02465,94.213,-130.18,-30.465
0.021296,94.242,-130.21,-26.288
0.060301,90.313,-130.12,-34.577
0.047533,90.335,-130.08,-30.424
0.038401,90.372,-130.15,-26.241
0.030038,98.041,-134.87,-34.3
0.029306,98.045,-134.78,-30.235
0.029655,98.051,-134.71,-26.186
0.072584,94.106,-134.68,-34.378
0.059879,94.116,-134.62,-30.335
0.050667,94.134,-134.63,-26.269
0.13115,90.154,-134.5,-34.41
0.12021,90.173,-134.45,-30.376
0.11047,90.202,-134.5,-26.308
0.032987,98.087,-127.35,-46.359
0.033037,98.098,-127.2,-42.851
0.032326,94.229,-127.51,-46.409
0.026428,94.258,-127.43,-42.803
0.066955,90.342,-127.49,-46.382
0.052829,90.384,-127.43,-42.749
0.028717,90.432,-126.19,-39.097
0.030345,98.058,-131.27,-46.256
0.032199,98.067,-131.07,-42.481
0.03416,98.072,-130.54,-38.65
0.065716,94.155,-131.26,-46.293
0.052188,94.176,-131.12,-42.458
0.038901,94.193,-130.6,-38.597
0.11489,90.228,-131.15,-46.284
0.1006,90.259,-131.03,-42.434
0.079482,90.292,-130.52,-38.554
0.040862,98.027,-135.34,-46.127
