E1_Z05_X,E1_Z05_Y,E1_Z06_X,E1_Z06_Y,E1_Z07_X,E1_Z07_Y,E1_Z08_X,E1_Z08_Y,E1_Z09_X,E1_Z09_Y,MEAN_X,MEAN_Y
4.86509082605648E-06,0.165170734939893,2.45838374097086E-07,0.00729764415719391,2.93957871335187E-07,0.00944945263954119,4.73741600918428E-07,0.0142007531663304,8.70788374554646E-08,0.00239306499058723,0,0
6.11017237140394E-06,0.207441484090908,1.55786578873657E-06,0.0462448151661464,1.80978882231663E-06,0.0581767505880186,2.24884567182965E-06,0.0674108041871586,1.54016151988318E-06,0.0423260888728223,5.43816511681762E-06,0.166666532368593
7.28669210356471E-06,0.247384546981226,2.89096413070592E-06,0.085817470826469,3.04051605471396E-06,0.097739217964411,3.71442270877134E-06,0.111342554549598,3.15476754350524E-06,0.0866980311452183,1.08763302336352E-05,0.333333064737185
8.50142931999896E-06,0.288625100543495,4.2178946529997E-06,0.125207036465214,4.25594210268058E-06,0.136809819561023,5.20121393084784E-06,0.155910215725317,4.65611547404483E-06,0.12795746083274,1.63144953504529E-05,0.499999597105778
7.29455055061376E-06,0.24765134271454,5.57246072306224E-06,0.165416955697844,5.47202661149281E-06,0.175901587777693,6.73366699614554E-06,0.201846624259188,6.09242104721366E-06,0.167429423061146,2.17526604672705E-05,0.666666129474371
8.48011322076475E-06,0.287901415025085,6.89411406809442E-06,0.204649869788795,6.70284105252795E-06,0.215466858528219,8.05174316484534E-06,0.241356927533886,7.56721506253073E-06,0.207959108912635,2.71908255840881E-05,0.833332661842964
9.66013516062985E-06,0.327963378515847,8.34657416708618E-06,0.247765746201069,7.99341174786955E-06,0.256953030026939,9.3661919470982E-06,0.280758497230043,9.01140818778935E-06,0.247647833621101,3.26289907009057E-05,0.999999194211556
8.42530908343275E-06,0.286040804408651,9.6907797356836E-06,0.287668116812537,9.2122946420693E-06,0.296134754025594,8.06094120525508E-06,0.241632645565023,7.38224116338533E-06,0.202875731881521,3.80671558177233E-05,1.16666572658015
9.77041759526993E-06,0.331707487604809,8.29822586395378E-06,0.246330540191591,7.8877723451961E-06,0.253557187868,9.35947362301194E-06,0.2805571105208,5.93578768006985E-06,0.163124888937556,4.3505320934541E-05,1.33333225894874
8.52707778887082E-06,0.289495870813796,6.94195938698477E-06,0.20607014485013,6.66299671977531E-06,0.214186038478768,1.07050389601345E-05,0.320891421851288,7.46480774019459E-06,0.205144792770809,4.89434860513586E-05,1.49999879131733
9.75113398681306E-06,0.331052805524866,5.5328414632073E-06,0.164240868924351,7.90821181102727E-06,0.254214226794945,1.20028736159187E-05,0.359794970878375,8.94763237787811E-06,0.245895172901176,5.43816511681762E-05,1.66666532368593
8.48244550059339E-06,0.287980596357387,6.92634102600772E-06,0.205606518123229,9.21924290870975E-06,0.296358110237311,1.330934107415E-05,0.398957294512646,7.4485830312379E-06,0.204698911956121,5.98198162849938E-05,1.83333185605452
