time,sum_RF1,avg_U1
0.0,0.0,0.0
0.0011406249832361937,612.0520248413086,0.005703125149011612
0.0026171875651925802,1220.8715171813965,0.01308593712747097
0.003566406201571226,1581.2184600830078,0.017832031473517418
0.0049902345053851604,2095.775749206543,0.02495117112994194
0.0064140623435378075,2586.422149658203,0.03207031264901161
0.007125976495444775,2862.2781372070312,0.03562988340854645
0.00846081506460905,3607.8876953125,0.04230407625436783
0.009662169963121414,4239.020645141602,0.04831085354089737
0.011464202776551247,5123.865524291992,0.05732101574540138
0.013266235589981079,5953.7362060546875,0.0663311779499054
0.015068267472088337,6737.986907958984,0.07534133642911911
0.016870301216840744,7482.824859619141,0.08435150235891342
0.018672332167625427,8192.30810546875,0.09336166083812714
0.02047436498105526,8869.855194091797,0.10237182676792145
0.021150127053260803,9117.538635253906,0.10575063526630402
0.022353827953338623,9548.927062988281,0.11176914721727371
0.0234941765666008,9945.87710571289,0.1174708902835846
0.02434943988919258,10236.334350585938,0.12174719572067261
0.025632331147789955,10660.729309082031,0.12816165387630463
0.02755666896700859,11273.313079833984,0.13778334856033325
0.02803775481879711,11423.39144897461,0.1401887685060501
0.02924046479165554,11791.580017089844,0.14620232582092285
0.03052586317062378,12175.02279663086,0.1526293158531189
0.0310966819524765,12342.79916381836,0.1554834097623825
0.032381024211645126,12714.44677734375,0.16190510988235474
0.03353692963719368,13041.356567382812,0.1676846444606781
0.03527078777551651,13517.683776855469,0.17635394632816315
0.0378715805709362,14206.46826171875,0.18935789167881012
0.0404723696410656,14865.599792480469,0.2023618519306183
0.04307315871119499,15499.363830566406,0.21536579728126526
0.045673951506614685,16163.02001953125,0.22836975753307343
0.04827474057674408,16818.671264648438,0.2413737028837204
0.05217592418193817,17778.25164794922,0.26087963581085205
0.05315122380852699,18015.265747070312,0.26575610041618347
0.054126519709825516,18250.774963378906,0.2706325948238373
0.0555894635617733,18596.666748046875,0.2779473066329956
0.05778387933969498,19108.2353515625,0.2889193892478943
0.06107550486922264,19860.609252929688,0.3053775131702423
0.0643671303987503,20598.717224121094,0.32183563709259033
0.06765875220298767,21346.03778076172,0.33829376101493835
0.06889311224222183,21618.1494140625,0.34446558356285095
0.07074465602636337,22013.61328125,0.3537232577800751
0.07352196425199509,22580.734497070312,0.36760979890823364
0.0762992724776268,23121.052368164062,0.3814963400363922
0.07725396752357483,23302.524353027344,0.38626986742019653
0.07810907810926437,23462.879821777344,0.39054539799690247
0.0792342945933342,23670.5302734375,0.3961714506149292
0.08004118502140045,23817.190185546875,0.40020594000816345
0.0812220349907875,24028.32061767578,0.4061101973056793
0.08203762024641037,24172.00372314453,0.41018810868263245
0.08320503681898117,24374.318237304688,0.41602519154548645
0.0841432735323906,24534.4091796875,0.42071637511253357
0.0855923667550087,24777.365112304688,0.4279618561267853
0.08662199229001999,24947.039794921875,0.43310993909835815
0.08700809627771378,25010.18829345703,0.43504050374031067
0.08818452060222626,25200.46514892578,0.4409225881099701
0.09001702070236206,25490.60516357422,0.4500851035118103
0.09166627377271652,25745.70684814453,0.4583313763141632
0.09228474646806717,25840.338989257812,0.46142372488975525
0.09338639676570892,26007.27734375,0.4669319689273834
0.09416914731264114,26124.603271484375,0.4708457291126251
0.09529434889554977,26291.500854492188,0.47647175192832947
0.09694546461105347,26536.204223632812,0.48472732305526733
0.09793613106012344,26680.735961914062,0.489680677652359
0.09892680495977402,26823.169677734375,0.4946340024471283
0.10041280835866928,27033.0087890625,0.502064049243927
0.10264181345701218,27340.444213867188,0.5132090449333191
0.1031990647315979,27416.418090820312,0.5159953236579895
0.10459218919277191,27603.97509765625,0.5229609608650208
0.10537582635879517,27708.174682617188,0.5268791317939758
0.10608109831809998,27801.08544921875,0.5304054617881775
0.10713900625705719,27938.927124023438,0.5356950163841248
0.10872586816549301,28142.528686523438,0.5436293482780457
0.10932093858718872,28218.219116210938,0.5466046929359436
0.11021354794502258,28330.926391601562,0.5510677099227905
0.11105036735534668,28435.925537109375,0.5552518367767334
0.1129332110285759,28668.848388671875,0.5646660923957825
0.11462777853012085,28875.94091796875,0.5731388926506042
0.1163223385810852,29078.262817382812,0.581611692905426
0.11716961860656738,29178.144165039062,0.5858480930328369
0.11812280863523483,29289.209594726562,0.5906140804290771
0.11925472319126129,29419.29345703125,0.5962736010551453
0.12005898356437683,29510.682373046875,0.6002948880195618
0.12126535922288895,29646.376220703125,0.6063268184661865
0.12247174233198166,29780.851440429688,0.6123587489128113
0.12367812544107437,29914.262573242188,0.6183906197547913
0.12488450855016708,30046.093017578125,0.624422550201416
0.1260908991098404,30176.160888671875,0.6304544806480408
0.1272972822189331,30304.44140625,0.6364863514900208
0.12910684943199158,30493.32958984375,0.6455342769622803
0.13182121515274048,30769.014282226562,0.6591060757637024
0.1324997991323471,30836.702514648438,0.6624990105628967
0.13317839801311493,30904.78125,0.6658919453620911
0.13419628143310547,31009.452758789062,0.6709814071655273
0.13525789976119995,31119.506591796875,0.6762894988059998
0.1364656388759613,31242.361083984375,0.6823282241821289
0.13755261898040771,31351.019775390625,0.6877630949020386
0.13918307423591614,31510.734741210938,0.6959153413772583
0.14071162045001984,31656.939819335938,0.703558087348938
0.14208732545375824,31785.327514648438,0.7104365825653076
0.14337703585624695,31902.14892578125,0.7168851494789124
0.1445377767086029,32005.681030273438,0.7226889133453369
0.14627890288829803,32161.566772460938,0.7313944697380066
0.147149458527565,32237.53759765625,0.7357472777366638
0.14823764562606812,32331.389404296875,0.7411882281303406
0.14921702444553375,32415.06298828125,0.7460851669311523
0.15007399022579193,32487.279052734375,0.7503699064254761
0.1514512300491333,32601.475341796875,0.7572561502456665
0.15269075334072113,32702.10791015625,0.7634537816047668
