time,sum_RF1,avg_U1
0.0,0.0,0.0
0.0011406249832361937,623.099193572998,0.005703125149011612
0.0026171875651925802,1237.8181114196777,0.01308593712747097
0.003566406201571226,1598.6981048583984,0.017832031473517418
0.0049902345053851604,2112.389762878418,0.02495117112994194
0.007125976495444775,2872.8982009887695,0.03562988340854645
0.010329590179026127,4562.6068115234375,0.05164794996380806
0.013533202931284904,6040.759460449219,0.06766601651906967
0.016736816614866257,7374.066497802734,0.08368407934904099
0.01994043029844761,8594.293426513672,0.0997021496295929
0.023144042119383812,9719.573272705078,0.11572021245956421
0.024745849892497063,10256.33627319336,0.12372925132513046
0.02594720385968685,10644.36605834961,0.1297360211610794
0.027749236673116684,11204.993835449219,0.13874618709087372
0.030452284961938858,12002.17465209961,0.15226143598556519
0.03315533325076103,12762.230163574219,0.16577666997909546
0.035858381539583206,13485.870849609375,0.17929191887378693
0.036872025579214096,13751.331604003906,0.18436013162136078
0.03839249163866043,14139.499755859375,0.19196245074272156
0.040673188865184784,14700.990661621094,0.20336593687534332
0.04295388609170914,15242.35302734375,0.2147694230079651
0.04523458331823349,15806.973693847656,0.22617292404174805
0.04865562915802002,16640.741638183594,0.2432781457901001
0.05207667499780655,17457.967834472656,0.26038336753845215
0.05549772083759308,18244.478759765625,0.2774886190891266
0.05674771964550018,18527.962646484375,0.2837386131286621
0.05862272158265114,18957.314392089844,0.2931136190891266
0.059325847774744034,19115.59844970703,0.2966292202472687
0.06038053333759308,19348.93359375,0.3019026815891266
0.061962563544511795,19690.28564453125,0.3098128139972687
0.06255582720041275,19816.36053466797,0.31277912855148315
0.06344571709632874,20014.669494628906,0.3172285854816437
0.06478055566549301,20315.30224609375,0.32390278577804565
0.06611539423465729,20607.074157714844,0.33057698607444763
0.06745023280382156,20893.346313476562,0.3372511863708496
0.06945249438285828,21312.463317871094,0.3472624719142914
0.07145475596189499,21715.829345703125,0.35727375745773315
0.0734570100903511,22104.182067871094,0.3672850430011749
0.07545927166938782,22478.574462890625,0.3772963583469391
0.07646039873361588,22662.01153564453,0.3823019862174988
0.07721124589443207,22797.32745361328,0.38605621457099915
0.07833751291036606,22996.999267578125,0.3916875720024109
0.08002692461013794,23289.85711669922,0.4001345932483673
0.08256103098392487,23714.702026367188,0.41280514001846313
0.08509513735771179,24124.136108398438,0.42547568678855896
0.08762924373149872,24519.393981933594,0.4381462335586548
0.09016335010528564,24900.845764160156,0.4508167803287506
