step_ld_2,U_ld_2,RF_ld_2,step_ld_4,U_ld_4,RF_ld_4
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.006000000000000001,0.909000000000002,2.0,0.006000000000000001,0.909000000000002
2.01,0.009000000000000001,1.3635000000000044,2.01,0.009000000000000001,1.3635000000000035
2.02,0.012,1.8180000000000067,2.02,0.012,1.8180000000000045
2.03,0.015,2.2725000000000097,2.03,0.015,2.272500000000005
2.04,0.018000000000000002,2.727000000000012,2.04,0.018000000000000002,2.7270000000000065
2.05,0.021,3.1815000000000135,2.05,0.021,3.181500000000007
2.06,0.024000000000000004,3.636000000000017,2.06,0.024000000000000004,3.636000000000008
2.07,0.027,4.090500000000019,2.07,0.027,4.090500000000008
2.08,0.03,4.54500000000002,2.08,0.03,4.545000000000009
2.09,0.032999999999999995,4.999500000000024,2.09,0.032999999999999995,4.99950000000001
2.1,0.03599999999999999,5.4540000000000255,2.1,0.03599999999999999,5.4540000000000095
2.11,0.03899999999999999,5.9085000000000285,2.11,0.03899999999999999,5.9085000000000125
2.12,0.04199999999999998,6.363000000000032,2.12,0.04199999999999998,6.363000000000014
2.13,0.04499999999999998,6.817500000000033,2.13,0.04499999999999998,6.817500000000013
2.14,0.04799999999999999,7.272000000000035,2.14,0.04799999999999999,7.2720000000000145
2.15,0.05099999999999998,7.726500000000037,2.15,0.05099999999999998,7.726500000000015
2.16,0.05399999999999999,8.18100000000004,2.16,0.05399999999999999,8.181000000000015
2.17,0.056999999999999995,8.635500000000041,2.17,0.056999999999999995,8.635500000000018
2.18,0.05999999999999999,9.090000000000046,2.18,0.05999999999999999,9.090000000000016
2.19,0.063,9.531607170873773,2.19,0.063,9.531607170873784
2.2,0.066,9.956888126432554,2.2,0.066,9.956888126432547
2.21,0.069,10.380019520258973,2.21,0.069,10.38001952025899
2.22,0.07200000000000001,10.800847135752637,2.22,0.07200000000000001,10.800847135752631
2.23,0.07500000000000001,11.219208301790102,2.23,0.07500000000000001,11.219208301790083
2.24,0.07800000000000001,11.634931918005138,2.24,0.07800000000000001,11.634931918005208
2.25,0.08100000000000002,12.047838555942413,2.25,0.08100000000000002,12.047838555942436
2.26,0.08400000000000003,12.457740667777871,2.26,0.08400000000000003,12.457740667777903
2.27,0.08700000000000002,12.864442912400326,2.27,0.08700000000000002,12.864442912400389
2.28,0.09000000000000001,13.267742610751036,2.28,0.09000000000000001,13.26774261075104
2.29,0.09300000000000001,13.667430340991004,2.29,0.09300000000000001,13.667430340991052
2.3,0.09600000000000003,14.063290682088793,2.3,0.09600000000000003,14.063290682088812
2.31,0.09900000000000003,14.455103111742131,2.31,0.09900000000000003,14.455103111742147
2.32,0.10200000000000004,14.84264306116148,2.32,0.10200000000000004,14.842643061161416
2.33,0.10500000000000004,15.225683125160268,2.33,0.10500000000000004,15.22568312516033
2.3400000000000003,0.10800000000000004,15.603994421312036,2.3400000000000003,0.10800000000000004,15.603994421311976
2.35,0.11100000000000004,15.97734808675924,2.35,0.11100000000000004,15.977348086759257
2.3600000000000003,0.11400000000000005,16.34551689581077,2.3600000000000003,0.11400000000000005,16.345516895810842
2.37,0.11700000000000003,16.708276975956966,2.37,0.11700000000000003,16.70827697595693
2.3800000000000003,0.12000000000000004,17.065409594683864,2.3800000000000003,0.12000000000000004,17.065409594683867
2.39,0.12300000000000004,17.41670298478035,2.39,0.12300000000000004,17.416702984780354
2.4000000000000004,0.12600000000000003,17.761954172026186,2.4000000000000004,0.12600000000000003,17.76195417202625
2.41,0.12900000000000003,18.10097076653909,2.41,0.12900000000000003,18.100970766539223
2.4200000000000004,0.13200000000000006,18.433572677881095,2.4200000000000004,0.13200000000000006,18.43357267788117
2.43,0.13500000000000006,18.759593714454528,2.43,0.13500000000000006,18.75959371445453
2.4400000000000004,0.13800000000000007,19.07888302983863,2.4400000000000004,0.13800000000000007,19.078883029838718
2.45,0.14100000000000007,19.391306382474642,2.45,0.14100000000000007,19.391306382474767
2.4600000000000004,0.14400000000000007,19.696747180356606,2.4600000000000004,0.14400000000000007,19.696747180356528
2.47,0.14700000000000008,19.995107288854324,2.47,0.14700000000000008,19.99510728885444
2.4800000000000004,0.15000000000000008,20.28630758715988,2.4800000000000004,0.15000000000000008,20.28630758715992
2.49,0.15300000000000008,20.570288266653183,2.49,0.15300000000000008,20.57028826665315
2.5,0.15600000000000008,20.847008872371966,2.5,0.15600000000000008,20.84700887237194
2.51,0.15900000000000009,21.11644809625641,2.51,0.15900000000000009,21.11644809625672
2.5200000000000005,0.1620000000000001,21.378603337722552,2.5200000000000005,0.1620000000000001,21.378603337722417
2.53,0.1650000000000001,21.633490051932597,2.53,0.1650000000000001,21.63349005193199
2.54,0.16800000000000007,21.88114091378369,2.54,0.16800000000000007,21.88114091378361
2.55,0.17100000000000012,22.121604822516282,2.55,0.17100000000000012,22.12160482251611
2.5600000000000005,0.17400000000000007,22.35494578117449,2.5600000000000005,0.17400000000000007,22.354945781174848
2.57,0.17700000000000013,22.581241680351678,2.57,0.17700000000000013,22.581241680351745
2.58,0.18000000000000008,22.800583016188288,2.58,0.18000000000000008,22.800583016188423
2.5900000000000003,0.1830000000000001,23.01307157241656,2.5900000000000003,0.1830000000000001,23.013071572416425
2.6000000000000005,0.18600000000000008,23.218819092063235,2.6000000000000005,0.18600000000000008,23.2188190920632
2.6100000000000003,0.1890000000000001,23.417945962410727,2.6100000000000003,0.1890000000000001,23.417945962410503
2.62,0.1920000000000001,23.61057993324609,2.62,0.1920000000000001,23.610579933245933
2.6300000000000003,0.19500000000000012,23.79685488505081,2.6300000000000003,0.19500000000000012,23.79685488505088
2.6400000000000006,0.1980000000000001,23.97690966036096,2.6400000000000006,0.1980000000000001,23.97690966036096
2.6500000000000004,0.20100000000000012,24.15088696825893,2.6500000000000004,0.20100000000000012,24.150886968258646
2.66,0.20400000000000007,24.31893236897395,2.66,0.20400000000000007,24.318932368973776
2.6700000000000004,0.20700000000000013,24.481193342838477,2.6700000000000004,0.20700000000000013,24.481193342838207
2.6800000000000006,0.21000000000000008,24.63781844551511,2.6800000000000006,0.21000000000000008,24.637818445515176
2.6900000000000004,0.21300000000000016,24.7889565494268,2.6900000000000004,0.21300000000000016,24.788956549426608
2.7,0.21600000000000008,24.934756169685,2.7,0.21600000000000008,24.934756169685198
2.7100000000000004,0.21900000000000017,25.075364871541208,2.7100000000000004,0.21900000000000017,25.075364871541183
2.7200000000000006,0.2220000000000001,25.210928755402332,2.7200000000000006,0.2220000000000001,25.21092875540296
2.7300000000000004,0.22500000000000017,25.341592014768885,2.7300000000000004,0.22500000000000017,25.341592014769123
2.74,0.2280000000000001,25.467496561975302,2.74,0.2280000000000001,25.467496561975388
2.7500000000000004,0.23100000000000015,25.58878171639165,2.7500000000000004,0.23100000000000015,25.58878171639148
2.7600000000000007,0.23400000000000007,25.705583949630324,2.7600000000000007,0.23400000000000007,25.70558394963002
2.7700000000000005,0.23700000000000015,25.81803668236161,2.7700000000000005,0.23700000000000015,25.818036682361708
2.78,0.24000000000000007,25.926270127488102,2.78,0.24000000000000007,25.926270127488127
2.7900000000000005,0.24300000000000016,26.030411174656766,2.7900000000000005,0.24300000000000016,26.030411174656564
2.8000000000000007,0.2460000000000001,26.130583311360713,2.8000000000000007,0.2460000000000001,26.130583311360336
2.8100000000000005,0.24900000000000017,26.226906576206247,2.8100000000000005,0.24900000000000017,26.226906576206183
2.82,0.25200000000000017,26.319497540245195,2.82,0.25200000000000017,26.319497540245756
2.8300000000000005,0.25500000000000017,26.40846931263164,2.8300000000000005,0.25500000000000017,26.408469312631663
2.8400000000000007,0.2580000000000002,26.493931566890826,2.8400000000000007,0.2580000000000002,26.493931566890943
2.8500000000000005,0.2610000000000002,26.575990586471807,2.8500000000000005,0.2610000000000002,26.57599058647217
2.8600000000000003,0.2640000000000002,26.6547493225604,2.8600000000000003,0.2640000000000002,26.654749322560367
2.8700000000000006,0.2670000000000002,26.73030746725293,2.8700000000000006,0.2670000000000002,26.73030746725296
2.880000000000001,0.2700000000000002,26.80276153584904,2.880000000000001,0.2700000000000002,26.802761535849367
2.8900000000000006,0.2730000000000002,26.872204957927863,2.8900000000000006,0.2730000000000002,26.872204957927636
2.9000000000000004,0.27600000000000013,26.93872817527455,2.9000000000000004,0.27600000000000013,26.93872817527459
2.9100000000000006,0.27900000000000014,27.002418745198202,2.9100000000000006,0.27900000000000014,27.00241874519804
2.920000000000001,0.28200000000000014,27.063361447963388,2.920000000000001,0.28200000000000014,27.06336144796335
2.9300000000000006,0.28500000000000014,27.121638397252426,2.9300000000000006,0.28500000000000014,27.121638397252305
2.9400000000000004,0.2880000000000002,27.177329152711476,2.9400000000000004,0.2880000000000002,27.177329152711607
2.9500000000000006,0.2910000000000002,27.230510833788145,2.9500000000000006,0.2910000000000002,27.23051083378767
2.960000000000001,0.2940000000000002,27.281258234173485,2.960000000000001,0.2940000000000002,27.281258234173652
2.9700000000000006,0.2970000000000002,27.329643936291983,2.9700000000000006,0.2970000000000002,27.329643936291923
2.9800000000000004,0.3000000000000002,27.375738425344803,2.9800000000000004,0.3000000000000002,27.37573842534508
2.9900000000000007,0.3030000000000002,27.41961020251362,2.9900000000000007,0.3030000000000002,27.419610202513912
3.0,0.306,27.46132589700378,3.0,0.306,27.461325897003505
3.01,0.309,27.500950381715448,3.01,0.309,27.50095038171519
3.02,0.312,27.538546856782016,3.02,0.312,27.538546856782297
3.03,0.315,27.574177007556663,3.03,0.315,27.574177007556482
3.04,0.318,27.607901058758948,3.04,0.318,27.607901058759136
3.05,0.321,27.639777903017176,3.05,0.321,27.639777903017357
3.06,0.324,27.66986519655656,3.06,0.324,27.66986519655701
3.07,0.327,27.69821945772534,3.07,0.327,27.698219457724967
3.08,0.33,27.724896163167248,3.08,0.33,27.72489616316679
3.09,0.333,27.7499498415752,3.09,0.333,27.74994984157515
3.1,0.336,27.773434164966982,3.1,0.336,27.77343416496668
3.11,0.339,27.795402037424974,3.11,0.339,27.79540203742449
3.12,0.342,27.815905681241247,3.12,0.342,27.81590568124161
3.13,0.345,27.834996720390237,3.13,0.345,27.834996720390446
3.14,0.34800000000000003,27.85272626126119,3.14,0.34800000000000003,27.85272626126128
3.15,0.35100000000000003,27.86914497056237,3.15,0.35100000000000003,27.869144970562328
3.16,0.35400000000000004,27.88430315030209,3.16,0.35400000000000004,27.884303150302287
3.17,0.35700000000000004,27.898250809730428,3.17,0.35700000000000004,27.898250809730264
3.18,0.36000000000000004,27.91103773413147,3.18,0.36000000000000004,27.911037734131515
3.19,0.363,27.922713550308945,3.19,0.363,27.92271355030901
3.2,0.366,27.93332778863405,3.2,0.366,27.933327788634088
3.21,0.3690000000000001,27.9429299414696,3.21,0.3690000000000001,27.9429299414694
3.22,0.37200000000000005,27.951569517796212,3.22,0.37200000000000005,27.95156951779642
3.23,0.37500000000000006,27.959296093844554,3.23,0.37500000000000006,27.959296093845136
3.24,0.37800000000000006,27.966159359517164,3.24,0.37800000000000006,27.966159359516052
3.25,0.38100000000000006,27.972209160372536,3.25,0.38100000000000006,27.972209160373
3.26,0.38400000000000006,27.97749553496739,3.26,0.38400000000000006,27.977495534967208
3.27,0.38700000000000007,27.98206874726449,3.27,0.38700000000000007,27.982068747264808
3.28,0.39000000000000007,27.985979313910406,3.28,0.39000000000000007,27.985979313910548
3.29,0.39300000000000007,27.989278026099264,3.29,0.39300000000000007,27.989278026099512
3.3,0.3960000000000001,27.99201596579132,3.3,0.3960000000000001,27.99201596579161
3.31,0.3990000000000001,27.994244516034687,3.31,0.3990000000000001,27.994244516034833
3.32,0.4020000000000001,27.996015661870327,3.32,0.4020000000000001,27.996015661869986
3.33,0.4050000000000001,27.997380739325838,3.33,0.4050000000000001,27.99738073932607
3.3400000000000003,0.4080000000000001,27.998392398448367,3.3400000000000003,0.4080000000000001,27.99839239844835
3.35,0.4110000000000001,27.999103206514206,3.35,0.4110000000000001,27.99910320651479
3.3600000000000003,0.4140000000000001,27.99956598469433,3.3600000000000003,0.4140000000000001,27.999565984693927
3.37,0.4170000000000001,27.999833782110535,3.37,0.4170000000000001,27.999833782110475
3.3800000000000003,0.4200000000000001,27.99995983893165,3.3800000000000003,0.4200000000000001,27.99995983893104
3.39,0.4230000000000001,27.999997542942868,3.39,0.4230000000000001,27.999997542942573
3.3925,0.42375000000000007,27.999999584464923,3.3925,0.42375000000000007,27.999999617037854
3.3931250000000004,0.4239375000000001,27.999999702740528,3.3931250000000004,0.4239375000000001,27.99999971669309
3.39375,0.4241250000000001,27.99999987534452,3.39375,0.4241250000000001,27.99999988373905
3.394375,0.4243125000000001,27.999999963226955,3.394375,0.4243125000000001,27.99999996874159
3.3950625000000003,0.42451875000000006,27.99999999861232,3.39453125,0.4243593750000001,27.999999868615692
3.395234375,0.4245703125,27.999999958513392,3.3946875000000003,0.4244062500000001,27.998625618994296
3.39527734375,0.4245832031250001,27.999999969585343,3.39484375,0.4244531250000001,27.997200695534367
3.3953203125,0.42459609375000007,28.00000025868019,3.3950000000000005,0.4245000000000001,27.995754441668954
3.39536328125,0.42460898437500005,28.000000434608168,3.3951562500000003,0.4245468750000001,27.994301924349703
3.395410546875,0.42462316406250006,27.99968140521686,3.3953125,0.4245937500000001,27.99284366910947
3.3954578125,0.42463734375,27.999329730179536,3.3954687500000005,0.4246406250000001,27.991384461541756
3.395505078125,0.42465152343750007,27.998973380375084,3.3956406250000004,0.4246921875000001,27.989778146633263
3.3955570703125,0.4246671210937501,27.99857133013064,3.3958296875000005,0.42474890625000006,27.9880065328596
3.3956142617187495,0.424684278515625,27.99812884939095,3.3960187500000005,0.4248056250000001,27.98623067900905
3.395677172265625,0.4247031516796876,27.997641793210686,3.3962078125,0.42486234375000015,27.984453585792487
3.395746373867188,0.4247239121601563,27.997103381318016,3.3964157812500004,0.42492473437500017,27.98249724834257
3.3958224956289063,0.424746748688672,27.996510802536942,3.396644546875,0.42499336406250016,27.980343500567365
3.3959062295667968,0.4247718688700391,27.995858548885636,3.3968961890625,0.42506885671875017,27.97797227669473
3.3959983368984767,0.4247995010695431,27.995138254834856,3.3971729954687504,0.4251518986406253,27.975361446730503
3.3960996549633244,0.42482989648899727,27.99434393533334,3.397477482515625,0.42524324475468767,27.972486604511463
3.3962111048346566,0.42486333145039695,27.993467777063444,3.397812418267188,0.4253437254801565,27.969320830540855
3.3963336996931224,0.4249001099079368,27.992503016033154,3.3981808475939066,0.4254542542781721,27.965834430487558
3.396468554037434,0.4249405662112304,27.991440594277183,3.3985861198532974,0.4255758359559893,27.961992677157703
3.3966168938161783,0.42498506814485343,27.990270532872657,3.398991392112688,0.4256974176338065,27.95814479370932
3.396780067572796,0.42503402027183873,27.98898237721441,3.3994371915980177,0.42583115747940536,27.95390683984878
3.3969432413294136,0.4250829723988241,27.9876931270372,3.3999275710318804,0.42597827130956417,27.949239144151285
3.3971064150860313,0.42513192452580945,27.98640244445039,3.4004669884091294,0.4261400965227389,27.944096912841303
3.3972695888426494,0.4251808766527947,27.985110360728896,3.401060347524103,0.42631810425723105,27.938432388506456
3.397432762599267,0.42522982877978016,27.9838162549288,3.401713042550574,0.4265139127651724,27.93219173678244
3.3975959363558847,0.4252787809067655,27.982520962937254,3.4024310070796924,0.4267293021239079,27.92531585101619
3.3977591101125024,0.4253277330337509,27.981224038754583,3.403220768061723,0.42696623041851695,27.917739524605963
3.3979386012447823,0.4253815803734347,27.97979551661985,3.404089505141956,0.4272268515425869,27.909390819744726
3.398136041490289,0.42544081244708704,27.978221880687126,3.4050451159302124,0.4275135347790638,27.90019037649955
3.398353225760348,0.4255059677281045,27.97648818601648,3.4060962877972942,0.4278288863391884,27.89005046767551
3.398592128457412,0.42557763853722386,27.974577773061586,3.407252576851085,0.4281757730553256,27.878874858737575
3.3988549214241828,0.4256564764272549,27.97247222003793,3.4085244948102535,0.4285573484430764,27.866556906590247
3.3991439936876304,0.4257431981062892,27.97015111739884,3.4099236045653405,0.42897708136960233,27.852979122416706
3.3994619731774227,0.4258385919532269,27.967592117676848,3.411322714320427,0.42939681429612814,27.839373568923484
3.3998117506161942,0.42594352518485834,27.964769461068705,3.4127218240755126,0.42981654722265406,27.825742188202415
3.400196505798843,0.42605895173965297,27.96165661571385,3.414260844806108,0.43027825344183257,27.8107205046242
3.4006197364997566,0.426185920949927,27.958223276301812,3.415799865536703,0.43073995966101103,27.795673655411957
3.4010852902707613,0.4263255870812285,27.954435852624368,3.4173388862672978,0.4312016658801896,27.78060322096221
3.401597399418867,0.42647921982566017,27.950256962683767,3.418877906997893,0.431663372099368,27.765510698674184
3.402160719481783,0.42664821584453494,27.945646660254937,3.420416927728488,0.4321250783185464,27.7503974649282
3.402780371550991,0.4268341114652972,27.94055929278912,3.4219559484590825,0.43258678453772487,27.73526473077601
3.403461988827119,0.42703859664813576,27.9349431591368,3.4234949691896777,0.43304849075690327,27.720113901434825
3.4042117678308603,0.42726353034925807,27.928743265783307,3.4250339899202724,0.4335101969760818,27.70494641733824
3.4050365247349754,0.4275109574204927,27.921897039254148,3.426573010650868,0.43397190319526013,27.689763194043188
3.4059437573295024,0.4277831271988508,27.914337339515285,3.4281120313814624,0.4344336094144387,27.67456524052277
3.4069417131834814,0.42808251395504454,27.90598883218792,3.4296510521120567,0.4348953156336172,27.659353671667887
3.40803946462286,0.4284118393868578,27.896768188106247,3.431343974915712,0.43540319247471354,27.642605853179504
3.4092469912061745,0.4287740973618524,27.886583256622128,3.4330368977193664,0.43591106931580975,27.62584406757936
3.4105752704478216,0.4291725811343465,27.87533207427369,3.4347298205230206,0.4364189461569061,27.609069370175895
3.412036377613633,0.42961091328408973,27.8629020829873,3.436422743326675,0.4369268229980025,27.592282776309798
3.4136435954960254,0.4300930786488076,27.849168338490298,3.4381156661303294,0.4374346998390988,27.575485219887938
3.4154115351666574,0.4306234605499972,27.83399403276978,3.439808588933984,0.43794257668019504,27.55867756320224
3.4173562688043524,0.43120688064130575,27.81722685271859,3.441501511737638,0.43845045352129136,27.54186067066307
3.419495475805817,0.4318486427417451,27.798698994801452,3.443194434541293,0.43895833036238774,27.525035404724697
3.421848603507428,0.4325545810522284,27.77822461485668,3.4448873573449474,0.43946620720348406,27.508202927898775
3.4244370439792,0.43333111319376005,27.75559997572294,3.4467495724289674,0.44002487172869,27.48968636804399
3.42728432849815,0.4341852985494448,27.730598979497763,3.448611787512988,0.440583536253896,27.47117014313009
3.4304163414689937,0.43512490244069807,27.70297406818977,3.4504740025970078,0.441142200779102,27.452649581995487
3.4338615557369225,0.4361584667210767,27.6724512405158,3.452336217681027,0.441700865304308,27.43412547446222
3.4373067700048514,0.4371920310014554,27.64180427586624,3.454198432765047,0.44225952982951394,27.41559518286168
3.44075198427278,0.4382255952818339,27.611045404884376,3.4560606478490667,0.44281819435472,27.39706229436261
3.4445417199675017,0.4393625159902504,27.577089840568796,3.4579228629330867,0.44337685887992584,27.378527378600964
3.448331455662223,0.4404994366986668,27.543024059629,3.459785078017106,0.4439355234051319,27.359990951743328
3.4521211913569445,0.44163635740708335,27.508858241671327,3.4616472931011266,0.44449418793033774,27.341453482485058
3.4559109270516664,0.4427732781154998,27.47460169153496,3.4635095081851466,0.44505285245554377,27.322915396543948
3.459700662746388,0.4439101988239163,27.440262646571636,3.4653717232691665,0.44561151698074974,27.304377080597973
3.4634903984411096,0.4450471195323328,27.40584864859721,3.4672339383531865,0.4461701815059558,27.28583888472218
3.467280134135831,0.44618404024074926,27.371366614858392,3.469096153437206,0.44672884603116175,27.267296319436937
3.4710698698305524,0.4473209609491657,27.336823300205573,3.471144590029628,0.4473433770088883,27.246894497573816
3.4752385790947464,0.44857157372842393,27.298758328845626,3.473397870281292,0.4480193610843875,27.224447481150808
3.47940728835894,0.4498221865076819,27.260633773205804,3.4758764785581224,0.44876294356743673,27.199752025027912
3.483575997623133,0.45107279928694,27.222455862164427,3.478602947662636,0.44958088429879073,27.172584371938527
3.4877447068873275,0.4523234120661981,27.18423066027144,3.4816020636776006,0.45048061910328013,27.142700308793504
3.4919134161515206,0.45357402484545617,27.145963687305887,3.4849010912940623,0.4514703273882186,27.10983091670121
3.4960821254157146,0.4548246376247143,27.107659977111886,3.4885300216721697,0.4525590065016509,27.07368190925942
3.5002508346799086,0.45607525040397223,27.06932541030524,3.492521845088088,0.4537565535264263,27.033940211245223
3.5044195439441026,0.4573258631832305,27.0309641233254,3.4969128508455976,0.45507385525367927,26.990266571694224
3.508588253208296,0.45857647596248863,26.992579742284608,3.501303856603108,0.4563911569809324,26.94661802331554
3.5127569624724897,0.4598270887417468,26.954176194733527,3.505694862360618,0.4577084587081854,26.903002638909168
3.516925671736684,0.46107770152100497,26.915756883473833,3.510085868118128,0.4590257604354384,26.859423436527017
3.5210943810008777,0.4623283143002631,26.877326470510937,3.5144768738756382,0.4603430621626914,26.815883170225124
3.5252630902650712,0.4635789270795212,26.838888830737993,3.518867879633148,0.4616603638899444,26.772385719559985
3.529848670455684,0.4649546011367052,26.79660586940464,3.5232588853906583,0.4629776656171975,26.728943151907583
3.534434250646297,0.46633027519388914,26.75433989948976,3.5280889917239198,0.46442669751717586,26.681204562544114
3.539019830836911,0.4677059492510731,26.712085600288862,3.5329190980571807,0.4658757294171541,26.63351373077913
3.543605411027524,0.46908162330825703,26.669853380816544,3.5377492043904417,0.4673247613171324,26.58588010506997
3.548190991218137,0.47045729736544106,26.62763974655472,3.5425793107237022,0.4687737932171107,26.53830592898341
3.5527765714087503,0.471832971422625,26.58544600126064,3.547409417056964,0.47022282511708896,26.49079316311761
3.557362151599364,0.47320864547980895,26.54327330317128,3.5522395233902246,0.47167185701706726,26.443343541427037
3.5619477317899766,0.474584319536993,26.501122693597367,3.557069629723486,0.4731208889170457,26.395958602431545
3.566533311980589,0.47595999359417696,26.458995123675443,3.561899736056747,0.4745699208170239,26.348630374441
3.571118892171203,0.4773356676513609,26.41689154190244,3.5672128530233342,0.47616385590700006,26.296630184739623
3.5757044723618163,0.4787113417085449,26.37481285171332,3.57305728168658,0.4779171845059739,26.23950946147323
3.580290052552429,0.4800870157657289,26.33275987225033,3.5794861532161506,0.47984584596484503,26.176814760322415
3.584875632743042,0.4814626898229128,26.290733418754268,3.585915024745721,0.48177450742371614,26.114243881875204
